idDrink,strDrink,strDrinkAlternate,strTags,strVideo,strCategory,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified
17222,A1,,,,Cocktail,Alcoholic,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,,,,,,1 3/4 shot ,1 Shot ,1/4 Shot,1/8 Shot,,,,,,,,,,,,,,No,2017-09-07 21:42:09
13501,ABC,,,,Shot,Alcoholic,Shot glass,Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Amaretto,Baileys irish cream,Cognac,,,,,,,,,,,,,1/3 ,1/3 ,1/3 ,,,,,,,,,,,,,,,No,2016-08-31 19:32:08
17225,Ace,,,,Cocktail,Alcoholic,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,,,,,,2 shots ,1/2 shot ,1/2 shot ,1/2 shot,1/2 Fresh,,,,,,,,,,,,,No,2017-09-07 22:05:06
14610,ACID,,,,Shot,Alcoholic,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,151 proof rum,Wild Turkey,,,,,,,,,,,,,,1 oz Bacardi ,1 oz ,,,,,,,,,,,,,,,,No,2016-11-15 11:28:37
17837,Adam,,"Alcoholic,Holiday",,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,Dark rum,Lemon juice,Grenadine,,,,,,,,,,,,,2 oz ,1 oz ,1 tsp ,,,,,,,,,,,,,,,Yes,2016-09-02 11:29:29
13938,AT&T,,,,Ordinary Drink,Alcoholic,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Absolut Vodka,Gin,Tonic water,,,,,,,,,,,,,1 oz ,1 oz ,4 oz ,,,,,,,,,,,,,,,No,2017-04-24 22:00:19
17833,A. J.,,,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,Applejack,Grapefruit juice,,,,,,,,,,,,,,1 1/2 oz ,1 oz ,,,,,,,,,,,,,,,,Yes,2016-09-02 11:16:58
17839,Affair,,,,Ordinary Drink,Alcoholic,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,,,,,,2 oz ,2 oz ,2 oz ,,,,,,,,,,,,,,,Yes,2016-09-01 10:05:34
15106,Apello,,,,Other / Unknown,Non alcoholic,Collins Glass,Stirr. Grnish with maraschino cherry.,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,Orange juice,Grapefruit juice,Apple juice,Maraschino cherry,,,,,,,,,,,,4 cl ,3 cl ,1 cl ,1 ,,,,,,,,,,,,,,No,2016-07-18 22:13:35
15266,Avalon,,,,Ordinary Drink,Alcoholic,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,,,,,,3 parts,1 part ,6 parts ,1 1/2 part ,,,,,,,,,,,,,,No,2017-04-24 22:22:11
17835,Abilene,,,,Ordinary Drink,Alcoholic,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,Dark rum,Peach nectar,Orange juice,,,,,,,,,,,,,1 1/2 oz ,2 oz ,3 oz ,,,,,,,,,,,,,,,Yes,2016-04-29 09:44:25
17228,Addison,,,,Cocktail,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Gin,Vermouth,,,,,,,,,,,,,,1 1/2 shot ,1 1/2 shot ,,,,,,,,,,,,,,,,No,2017-09-07 22:38:20
11023,Almeria,,,,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Dark rum,Kahlua,Egg white,,,,,,,,,,,,,2 oz ,1 oz ,1 ,,,,,,,,,,,,,,,No,2017-01-02 20:16:21
17836,Acapulco,,,,Ordinary Drink,Alcoholic,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,,,,,,,1 1/2 oz ,1 1/2 tsp ,1 tblsp ,1 tsp ,1 ,1 ,,,,,,,,,,,,Yes,2016-09-02 11:26:16
17840,Affinity,,,,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,2 dashes ,,,,,,,,,,,,,,Yes,2017-09-07 21:44:05
11046,Applecar,,,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Applejack,Triple sec,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,,,No,2017-09-02 23:02:44
17180,Aviation,,"IBA,Classic",https://www.youtube.com/watch?v=oOHH0GGglyM,Cocktail,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,Gin,lemon juice,maraschino liqueur,,,,,,,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,,,,,,,https://www.flickr.com/photos/mstyne/27859363080/in/dateposted/,Michael Styne https://www.flickr.com/photos/mstyne/,Yes,2016-11-04 09:55:28
16333,Adam Bomb,,,,Punch / Party Drink,Alcoholic,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",https://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,,,,No,2016-02-03 15:23:36
17227,Addington,,,,Cocktail,Alcoholic,Cocktail glass,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,https://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,Sweet Vermouth,Dry Vermouth,Soda Water,,,,,,,,,,,,,2 shots ,1 shot ,"Top up with
",,,,,,,,,,,,,,,No,2017-09-07 22:15:25
15182,After sex,,,,Ordinary Drink,Alcoholic,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Vodka,Creme de Banane,Orange juice,,,,,,,,,,,,,2 cl ,1 cl ,,,,,,,,,,,,,,,,No,2017-04-24 22:18:22
12560,Afterglow,,,,Cocktail,Non alcoholic,Highball Glass,Mix. Serve over ice.,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Grenadine,Orange juice,Pineapple juice,,,,,,,,,,,,,1 part ,4 parts ,4 parts ,,,,,,,,,,,,,,,No,2016-07-18 22:07:32
13162,Afternoon,,,,Coffee / Tea,Alcoholic,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Kahlua,Baileys irish cream,Frangelico,Coffee,Cream,,,,,,,,,,,1 cl ,1 cl ,1 1/2 ,4 cl hot ,,,,,,,,,,,,,,No,2016-08-31 19:22:57
11014,Alexander,,"IBA,Classic,Dairy",https://www.youtube.com/watch?v=qEhRK_v2w2g,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,,https://www.pxfuel.com/en/free-photo-expqp,pxfuel.com,Yes,2016-11-04 09:50:39
11020,Algonquin,,,,Ordinary Drink,Alcoholic,Cocktail glass,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Blended whiskey,Dry Vermouth,Pineapple juice,,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,,,,,,,,,,,,,,,No,2017-01-02 20:11:13
11021,Allegheny,,,,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,,,,,,1 oz ,1 oz ,1 1/2 tsp ,1 1/2 tsp ,1 twist of ,,,,,,,,,,,,,No,2017-01-02 20:12:14
15941,Americano,,"IBA,Classic",https://www.youtube.com/watch?v=TmeUJ2g3ogM,Ordinary Drink,Alcoholic,Collins glass,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",https://www.thecocktaildb.com/images/media/drink/709s6m1613655124.jpg,Campari,Sweet Vermouth,Lemon peel,Orange peel,,,,,,,,,,,,1 oz ,1 oz red ,Twist of ,Twist of ,,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Martini_Americano.jpg,Author - Cher37 https://commons.wikimedia.org/wiki/File:Martini_Americano.jpg,Yes,2016-11-04 09:52:06
16311,Applejack,,,,Cocktail,Alcoholic,Cocktail glass,"Add all ingredients into mixing glass, chill and strain into cocktail glass",https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,Jack Daniels,Midori melon liqueur,Sour mix,,,,,,,,,,,,,1 oz ,1/2 oz ,2 oz ,,,,,,,,,,,,,,,No,2016-11-15 11:24:22
11055,Artillery,,,,Ordinary Drink,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg,Sweet Vermouth,Gin,Bitters,,,,,,,,,,,,,1 1/2 tsp ,1 1/2 oz ,2 dashes ,,,,,,,,,,,,,,,No,2017-04-24 22:02:27
12756,Autodafé,,,,Ordinary Drink,Alcoholic,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,Vodka,Lime juice,Soda water,,,,,,,,,,,,,4 cl ,1 dash ,,,,,,,,,,,,,,,,No,2017-02-20 15:02:08
16419,Avalanche,,,,Shake,Alcoholic,Highball glass,"Mix in highball glass over ice, shake well.",https://www.thecocktaildb.com/images/media/drink/uppqty1472720165.jpg,Crown Royal,Kahlua,Cream,,,,,,,,,,,,,1 shot ,1 shot ,Fill with ,,,,,,,,,,,,,,,No,2016-09-01 09:56:05
17226,Adam & Eve,,,,Cocktail,Alcoholic,Cocktail glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,Gin,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,,,,,,,,1 shot ,1 shot ,1 shot ,1/8 shot ,,,,,,,,,,,,,,No,2017-09-07 22:17:58
13807,After Five,,,,Shot,Alcoholic,Shot glass,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled",https://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg,Peppermint schnapps,Kahlua,Baileys irish cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2017-04-24 22:16:35
11024,Almond Joy,,,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,Amaretto,Creme de Cacao,Light cream,,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,,,,No,2017-01-02 20:18:16
11034,Angel Face,,"IBA,Classic",https://www.youtube.com/watch?v=esjMkuXO7aw,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass.,https://www.thecocktaildb.com/images/media/drink/vaukir1606772580.jpg,Apricot brandy,Apple brandy,Gin,,,,,,,,,,,,,1/2 oz ,1/2 oz ,1 oz ,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:IBA_Cocktail_Angel_Face_(28068833805).jpg,Michael Styne https://www.flickr.com/photos/mstyne/28068833805/,Yes,2016-11-04 09:52:58
178319,Aquamarine,,,,Cocktail,Alcoholic,Martini Glass,"Shake well in a shaker with ice.
Strain in a martini glass.",https://www.thecocktaildb.com/images/media/drink/zvsre31572902738.jpg,Hpnotiq,Pineapple Juice,Banana Liqueur,,,,,,,,,,,,,2 oz,1 oz,1 oz,,,,,,,,,,,,,,,No,
11052,Archbishop,,,,Ordinary Drink,Alcoholic,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.",https://www.thecocktaildb.com/images/media/drink/4g6xds1582579703.jpg,Gin,Wine,Benedictine,Lime,,,,,,,,,,,,2 oz ,1 oz Green Ginger ,1 tsp ,1 ,,,,,,,,,,,,,,Yes,2015-09-02 16:21:47
12790,Absinthe #2,,,,Homemade Liqueur,Alcoholic,Jar,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.",https://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,Vodka,Sugar,Anise,Licorice root,Wormwood,,,,,,,,,,,1 bottle ,50 gr ,50 ml pure ,1 tblsp ,1 ,,,,,,,,,,,,,No,2016-08-31 19:13:17
14360,Absolut Sex,,,,Shot,Alcoholic,Old-fashioned glass,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",https://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,Absolut Kurant,Midori melon liqueur,Cranberry juice,Sprite,,,,,,,,,,,,3/4 oz ,3/4 oz ,1 oz ,1 splash ,,,,,,,,,,,,,,No,2016-08-31 19:33:56
14622,Arctic Fish,,,,Punch / Party Drink,Alcoholic,Beer pilsner,"Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled.",https://www.thecocktaildb.com/images/media/drink/ttsvwy1472668781.jpg,Vodka,Grape soda,Orange juice,Ice,Candy,,,,,,,,,,,1/3 part ,1/3 part ,1/3 part ,lots ,1 dash ,,,,,,,,,,,,,No,2016-08-31 19:39:41
14364,Aztec Punch,,,,Punch / Party Drink,Alcoholic,Punch bowl,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it.",https://www.thecocktaildb.com/images/media/drink/uqwuyp1454514591.jpg,Lemonade,Vodka,Rum,Ginger ale,,,,,,,,,,,,1 can ,5 oz ,7 oz ,About 1 bottle ,,,,,,,,,,,,,,No,2016-02-03 15:49:51
15567,Adam Sunrise,,,,Ordinary Drink,Alcoholic,Collins Glass,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",https://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,Vodka,Lemonade,Water,Sugar,,,,,,,,,,,,1/2 ,1/2 can ,1/2 ,10 tsp ,,,,,,,,,,,,,,No,2016-09-02 11:28:32
11029,Amaretto Tea,,,,Ordinary Drink,Alcoholic,Pousse cafe glass,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve.",https://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg,Tea,Amaretto,Whipped cream,,,,,,,,,,,,,6 oz hot ,2 oz ,Chilled ,,,,,,,,,,,,,,,No,2017-04-24 22:42:47
16289,Apple Grande,,,,Punch / Party Drink,Alcoholic,Punch Bowl,Chill both ingredients!! Mix in a tumbler and enjoy!,https://www.thecocktaildb.com/images/media/drink/wqrptx1472668622.jpg,Tequila,Apple cider,,,,,,,,,,,,,,3 oz ,12 oz ,,,,,,,,,,,,,,,,No,2016-08-31 19:37:02
12564,Apple Karate,,,,Cocktail,Non alcoholic,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg,Apple juice,Carrot,,,,,,,,,,,,,,2 cups ,1 large ,,,,,,,,,,,,,,,,No,2016-07-18 22:17:14
11050,Apricot Lady,,Cold,,Ordinary Drink,Alcoholic,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.",https://www.thecocktaildb.com/images/media/drink/7ityp11582579598.jpg,Light rum,Apricot brandy,Triple sec,Lemon juice,Egg white,Orange,,,,,,,,,,1 1/2 oz ,1 oz ,1 tsp ,1/2 oz ,1 ,1 ,,,,,,,,,,,,Yes,2017-09-02 23:03:34
17066,Army special,,,,Cocktail,Alcoholic,Cocktail glass,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",https://www.thecocktaildb.com/images/media/drink/55muhh1493068062.jpg,Vodka,Gin,Lime juice cordial,Ice,,,,,,,,,,,,30 ml ,30 ml ,45 ml ,1/2 glass crushed ,,,,,,,,,,,,,,No,2017-04-24 22:07:42
13423,Atlantic Sun,,,,Ordinary Drink,Alcoholic,Collins Glass,"Shake all the ingredients, top the drink with soda. Garnish with a slice of orange.",https://www.thecocktaildb.com/images/media/drink/doyxqb1493067556.jpg,Vodka,Southern Comfort,Passion fruit syrup,Sweet and sour,Club soda,,,,,,,,,,,2 cl Smirnoff ,2 cl ,2 cl ,6 cl ,1 dash ,,,,,,,,,,,,,No,2017-04-24 21:59:16
17223,Abbey Martini,,,,Cocktail,Alcoholic,Cocktail glass,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",https://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,Gin,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,,,,,,,2 shots ,1 shot ,1 shot ,3 dashes ,,,,,,,,,,,,,,No,2017-09-07 21:50:03
178321,Amaretto fizz,,Christmas,,Cocktail,Alcoholic,Collins glass,"Mix Amaretto, orange juice and sparkling wine in a jug. Add a strip orange zest to each glass, if you like.",https://www.thecocktaildb.com/images/media/drink/92h3jz1582474310.jpg,Amaretto,Orange Juice,White Wine,Orange Peel,,,,,,,,,,,,4 cl,6 cl,15 cl,Garnish with,,,,,,,,,,,,,,Yes,
11026,Amaretto Mist,,,,Ordinary Drink,Alcoholic,Old-fashioned glass,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)",https://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,Amaretto,Lime,,,,,,,,,,,,,,1 1/2 oz ,1 ,,,,,,,,,,,,,,,,Yes,2017-01-02 20:19:31
11027,Amaretto Rose,,,,Ordinary Drink,Alcoholic,Collins glass,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,https://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg,Amaretto,Lime juice,Club soda,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,,,,,,,,,,,,,,,,No,2017-04-24 22:32:59
13731,Amaretto Sour,,,,Ordinary Drink,Alcoholic,Collins Glass,Shake and strain. Garnish with a cherry and an orange slice.,https://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg,Amaretto,Sour mix,,,,,,,,,,,,,,1 1/2 oz ,3 oz ,,,,,,,,,,,,,,,,No,2017-04-24 22:43:32
178325,Aperol Spritz,,,,Cocktail,Alcoholic,Wine Glass,"Put a couple of cubes of ice into 2 glasses and add a 50 ml measure of Aperol to each. Divide the prosecco between the glasses and then top up with soda, if you like.",https://www.thecocktaildb.com/images/media/drink/iloasq1587661955.jpg,Aperol,Prosecco,Soda Water,,,,,,,,,,,,,100 ml,150 ml,Top,,,,,,,,,,,,,,,Yes,
13683,Apple Slammer,,,,Shot,Alcoholic,Shot glass,"pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly.",https://www.thecocktaildb.com/images/media/drink/09yd5f1493069852.jpg,7-Up,Apple schnapps,,,,,,,,,,,,,,1 part ,1 part ,,,,,,,,,,,,,,,,No,2017-04-24 22:37:32
15849,Apricot punch,,,,Punch / Party Drink,Alcoholic,Punch bowl,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.,https://www.thecocktaildb.com/images/media/drink/tuxxtp1472668667.jpg,Apricot brandy,Champagne,Vodka,7-Up,Orange juice,,,,,,,,,,,1 qt ,4 fifth ,1 fifth ,4 L ,1/2 gal ,,,,,,,,,,,,,No,2016-08-31 19:37:47
11053,Arise My Love,,,,Ordinary Drink,Alcoholic,Champagne flute,Put creme de menthe into a champagne flute. Fill with chilled champagne and serve.,https://www.thecocktaildb.com/images/media/drink/wyrrwv1441207432.jpg,Champagne,Green Creme de Menthe,,,,,,,,,,,,,,Chilled ,1 tsp ,,,,,,,,,,,,,,,,No,2015-09-02 16:23:52
13086,Atomic Lokade,,,,Ordinary Drink,Alcoholic,Collins Glass,"In a shaker, place lemonade, vodka, blue Curacao, and triple sec together. Shake with ice and strain into glass. Add sugar to taste",https://www.thecocktaildb.com/images/media/drink/n3zfrh1493067412.jpg,Lemonade,Vodka,Blue Curacao,Triple sec,Sugar,Ice,,,,,,,,,,5 oz ,1 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,,,No,2017-04-24 21:56:52
16405,A Piece of Ass,,,,Other / Unknown,Alcoholic,Highball glass,Put ice in glass. Pour in shots. Fill with Sour Mix.,https://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,Amaretto,Southern Comfort,Ice,Sour mix,,,,,,,,,,,,1 shot ,1 shot ,cubes,,,,,,,,,,,,,,,No,2016-09-01 09:48:57
17834,Abbey Cocktail,,,,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,https://www.thecocktaildb.com/images/media/drink/mr30ob1582479875.jpg,Gin,Orange bitters,Orange,Cherry,,,,,,,,,,,,1 1/2 oz ,1 dash ,Juice of 1/4 ,1 ,,,,,,,,,,,,,,Yes,2016-09-02 11:19:28
11019,Alfie Cocktail,,Alcoholic,,Ordinary Drink,Alcoholic,Cocktail glass,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,Lemon vodka,Triple sec,Pineapple juice,,,,,,,,,,,,,1 1/2 oz ,1 dash ,1 tblsp ,,,,,,,,,,,,,,,No,2017-01-02 20:10:29
12562,Alice Cocktail,,,,Cocktail,Non alcoholic,Cocktail glass,"Shake well, strain into a large cocktail glass.",https://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,Grenadine,Orange juice,Pineapple juice,Cream,,,,,,,,,,,,1 cl ,1 cl ,2 cl ,4 cl ,,,,,,,,,,,,,,No,2016-07-18 22:09:04
15194,Amaretto Shake,,,,Ordinary Drink,Alcoholic,Collins Glass,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,https://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,Chocolate ice-cream,Brandy,Amaretto,,,,,,,,,,,,,2 scoops ,2 oz ,2 oz ,,,,,,,,,,,,,,,No,2017-04-24 22:34:16
178353,Apple Highball,,"Classy, Spicy",,Cocktail,Alcoholic,Highball glass,"Add ice in a highball glass. Rub a wedge of fresh lime around rim and place it in the glass. Add a shot of Apple schnapps, a shot of Courvoisier and top up with ginger ale.",https://www.thecocktaildb.com/images/media/drink/66mt9b1619695719.jpg,Lime,Apple Schnapps,Cognac,Ginger,,,,,,,,,,,,Chopped,1 shot,1 shot,Top,,,,,,,,,,,,TheCocktailDB,,Yes,
14272,Addison Special,,,,Cocktail,Alcoholic,Old-fashioned glass,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,https://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,Vodka,Grenadine,Orange juice,,,,,,,,,,,,,1 shot ,1 tblsp ,Fill with ,,,,,,,,,,,,,,,No,2017-04-24 22:14:53
17838,Adonis Cocktail,,,,Ordinary Drink,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,Sweet Vermouth,Sherry,Orange bitters,,,,,,,,,,,,,3/4 oz ,1 1/2 oz dry ,1 dash ,,,,,,,,,,,,,,,No,2016-09-02 11:27:11
